iter	Passed	Remaining
0	161	161078
1	165	82423
2	169	56169
3	172	42977
4	176	35202
5	179	29744
6	181	25772
7	183	22757
8	185	20375
9	187	18524
10	188	16964
11	190	15645
12	191	14520
13	192	13556
14	193	12717
15	194	11987
16	195	11331
17	196	10743
18	197	10220
19	198	9747
20	200	9347
21	201	8960
22	202	8612
23	204	8300
24	205	8011
25	206	7730
26	207	7463
27	207	7216
28	208	6986
29	209	6772
30	210	6573
31	211	6385
32	212	6214
33	212	6046
34	214	5906
35	215	5766
36	216	5626
37	217	5494
38	217	5367
39	218	5251
40	219	5138
41	220	5027
42	221	4921
43	221	4820
44	222	4723
45	223	4630
46	224	4542
47	224	4457
48	225	4376
49	226	4298
50	227	4230
51	228	4164
52	229	4094
53	229	4026
54	230	3961
55	231	3900
56	232	3839
57	232	3781
58	233	3725
59	234	3670
60	235	3618
61	235	3567
62	236	3521
63	237	3473
64	238	3426
65	238	3381
66	239	3337
67	240	3295
68	241	3257
69	242	3219
70	243	3182
71	244	3146
72	244	3110
73	245	3074
74	246	3041
75	247	3007
76	248	2973
77	248	2940
78	249	2909
79	250	2877
80	250	2847
81	251	2818
82	252	2785
83	252	2756
84	253	2730
85	254	2703
86	255	2678
87	256	2654
88	260	2667
89	262	2654
90	265	2647
91	268	2653
92	269	2632
93	275	2659
94	276	2635
95	277	2613
96	278	2591
97	279	2569
98	279	2547
99	280	2526
100	281	2505
101	282	2484
102	283	2464
103	283	2445
104	285	2432
105	286	2418
106	287	2400
107	288	2384
108	289	2366
109	290	2348
110	290	2330
111	291	2312
112	292	2295
113	293	2279
114	294	2262
115	294	2246
116	295	2228
117	296	2212
118	296	2197
119	297	2182
120	298	2166
121	298	2151
122	300	2140
123	301	2127
124	301	2113
125	302	2099
126	303	2084
127	304	2071
128	305	2060
129	305	2047
130	306	2033
131	307	2020
132	307	2007
133	308	1995
134	309	1982
135	310	1970
136	311	1959
137	311	1946
138	312	1935
139	313	1924
140	314	1913
141	314	1902
142	315	1891
143	316	1880
144	317	1869
145	317	1859
146	318	1848
147	319	1837
148	320	1827
149	320	1817
150	321	1807
151	322	1797
152	322	1787
153	323	1777
154	324	1768
155	325	1758
156	325	1749
157	326	1741
158	327	1733
159	328	1725
160	329	1715
161	329	1706
162	330	1697
163	331	1688
164	332	1680
165	332	1671
166	333	1663
167	334	1655
168	334	1646
169	335	1638
170	336	1630
171	337	1622
172	337	1614
173	338	1607
174	339	1599
175	339	1591
176	340	1585
177	341	1577
178	342	1571
179	343	1564
180	344	1557
181	344	1550
182	345	1543
183	346	1536
184	347	1529
185	347	1522
186	348	1515
187	349	1508
188	350	1502
189	350	1495
190	351	1488
191	352	1482
192	353	1476
193	353	1469
194	354	1463
195	355	1456
196	355	1450
197	356	1445
198	357	1439
199	358	1433
200	359	1427
201	359	1421
202	360	1415
203	361	1409
204	361	1403
205	362	1397
206	363	1391
207	364	1386
208	364	1380
209	365	1375
210	366	1370
211	367	1365
212	367	1359
213	368	1354
214	369	1348
215	370	1343
216	371	1338
217	371	1334
218	372	1329
219	373	1324
220	374	1319
221	375	1314
222	375	1309
223	376	1304
224	377	1299
225	377	1294
